,precision,recall,f1-score,support
Cleanliness,0.875,0.6363636363636364,0.7368421052631579,44.0
Materials / EEEs,0.6464646464646465,0.64,0.6432160804020101,100.0
Structure & Mechanism,0.6697247706422018,0.5069444444444444,0.5770750988142292,144.0
Space Environment,0.7572815533980582,0.8333333333333334,0.7934893184130214,468.0
Thermal,0.7142857142857143,0.7738095238095238,0.7428571428571429,84.0
Telecom.,0.8135593220338984,0.6114649681528662,0.6981818181818182,157.0
Project Organisation / Documentation,0.5064935064935064,0.6190476190476191,0.5571428571428572,63.0
Power,0.6373056994818653,0.7834394904458599,0.7028571428571428,157.0
Project Scope,0.5714285714285714,0.8205128205128205,0.6736842105263158,78.0
System engineering,0.5900621118012422,0.625,0.6070287539936102,152.0
Safety / Risk (Control),0.775,0.6788321167883211,0.7237354085603113,137.0
OBDH,0.6553030303030303,0.8277511961722488,0.7315010570824524,209.0
Parameter,0.6038961038961039,0.465,0.5254237288135594,200.0
Propulsion,0.581081081081081,0.6615384615384615,0.6187050359712231,65.0
Measurement,0.9539170506912442,0.8697478991596639,0.9098901098901099,238.0
GN&C,0.5981308411214953,0.5517241379310345,0.5739910313901345,116.0
Nonconformity,0.703125,0.7377049180327869,0.72,61.0
Quality control,0.7213114754098361,0.7154471544715447,0.7183673469387755,246.0
micro avg,0.7019265721555797,0.7101875689591761,0.7060329067641682,2719.0
macro avg,0.687409471029583,0.6865367622335647,0.6807771248387707,2719.0
weighted avg,0.7084891046082272,0.7101875689591761,0.704150257438543,2719.0
