,precision,recall,f1-score,support
Telecom.,0.6132075471698113,0.9420289855072463,0.7428571428571429,69.0
Project Scope,0.6285714285714286,0.6407766990291263,0.6346153846153846,103.0
OBDH,0.8087431693989071,0.6727272727272727,0.7344913151364765,220.0
GN&C,0.6324786324786325,0.7254901960784313,0.6757990867579908,102.0
Measurement,0.921875,0.8894472361809045,0.9053708439897699,199.0
Power,0.8390804597701149,0.6517857142857143,0.7336683417085427,112.0
Cleanliness,0.8148148148148148,0.6666666666666666,0.7333333333333333,33.0
Materials / EEEs,0.6614173228346457,0.84,0.7400881057268722,100.0
Parameter,0.6162790697674418,0.5463917525773195,0.5792349726775956,194.0
Structure & Mechanism,0.5206611570247934,0.5625,0.5407725321888412,112.0
Propulsion,0.6285714285714286,0.7457627118644068,0.6821705426356589,59.0
Nonconformity,0.6578947368421053,0.5434782608695652,0.5952380952380952,46.0
System engineering,0.5514018691588785,0.5,0.5244444444444445,118.0
Safety / Risk (Control),0.6625,0.7737226277372263,0.7138047138047138,137.0
Space Environment,0.7553648068669528,0.8018223234624146,0.7779005524861878,439.0
Quality control,0.7788018433179723,0.7100840336134454,0.7428571428571429,238.0
Thermal,0.6463414634146342,0.6708860759493671,0.6583850931677019,79.0
Project Organisation / Documentation,0.43243243243243246,0.5333333333333333,0.47761194029850745,60.0
micro avg,0.70093839249286,0.7099173553719008,0.7053993019913776,2420.0
macro avg,0.6761353990241664,0.6898279938823577,0.6773690879958001,2420.0
weighted avg,0.708664109788261,0.7099173553719008,0.7053309424405871,2420.0
