,precision,recall,f1-score,support
Structure & Mechanism,0.684931506849315,0.7142857142857143,0.6993006993006993,70.0
System engineering,0.6116504854368932,0.5625,0.586046511627907,112.0
Power,0.6985294117647058,0.7786885245901639,0.7364341085271318,122.0
Measurement,0.822429906542056,0.8979591836734694,0.8585365853658536,196.0
OBDH,0.8853046594982079,0.7891373801916933,0.8344594594594594,313.0
Thermal,0.7469879518072289,0.8857142857142857,0.8104575163398693,70.0
Space Environment,0.7379807692307693,0.8365122615803815,0.7841634738186463,367.0
Project Organisation / Documentation,0.5283018867924528,0.5773195876288659,0.5517241379310345,97.0
Propulsion,0.5510204081632653,0.6585365853658537,0.6,41.0
Parameter,0.48717948717948717,0.562962962962963,0.5223367697594502,135.0
GN&C,0.8103448275862069,0.6861313868613139,0.7430830039525692,137.0
Project Scope,0.7241379310344828,0.6268656716417911,0.672,134.0
Telecom.,0.7163120567375887,0.8859649122807017,0.792156862745098,114.0
Nonconformity,0.5897435897435898,0.5476190476190477,0.5679012345679012,42.0
Materials / EEEs,0.7023809523809523,0.6941176470588235,0.6982248520710059,85.0
Safety / Risk (Control),0.8045977011494253,0.6862745098039216,0.7407407407407407,102.0
Quality control,0.6515151515151515,0.6861702127659575,0.6683937823834197,188.0
Cleanliness,0.8181818181818182,0.7777777777777778,0.7974683544303798,81.0
micro avg,0.7205822887181561,0.7406483790523691,0.7304775568764091,2406.0
macro avg,0.6984183611996443,0.714140980655707,0.7035237829456205,2406.0
weighted avg,0.7263969947000399,0.7406483790523691,0.730760876514174,2406.0
