,precision,recall,f1-score,support
Cleanliness,0.76,0.7037037037037037,0.7307692307692307,54.0
Safety / Risk (Control),0.5875,0.5402298850574713,0.562874251497006,87.0
Power,0.7643312101910829,0.8053691275167785,0.7843137254901961,149.0
Telecom.,0.7572815533980582,0.8863636363636364,0.8167539267015707,88.0
Project Organisation / Documentation,0.6,0.45348837209302323,0.5165562913907285,86.0
Materials / EEEs,0.6020408163265306,0.7468354430379747,0.6666666666666666,79.0
Project Scope,0.7142857142857143,0.5913978494623656,0.6470588235294118,93.0
GN&C,0.6290322580645161,0.841726618705036,0.72,139.0
Parameter,0.5153846153846153,0.38953488372093026,0.44370860927152317,172.0
Quality control,0.6666666666666666,0.64,0.6530612244897959,175.0
OBDH,0.84375,0.7213740458015268,0.7777777777777778,262.0
Measurement,0.9560439560439561,0.8571428571428571,0.9038961038961039,203.0
Propulsion,0.7802197802197802,0.696078431372549,0.7357512953367875,102.0
Thermal,0.65,0.9558823529411765,0.7738095238095238,68.0
Space Environment,0.7154308617234469,0.8095238095238095,0.7595744680851064,441.0
Nonconformity,0.5128205128205128,0.5882352941176471,0.547945205479452,34.0
System engineering,0.6451612903225806,0.7547169811320755,0.6956521739130435,106.0
Structure & Mechanism,0.6022727272727273,0.4015151515151515,0.4818181818181818,132.0
micro avg,0.7074360016253556,0.7048582995951417,0.7061447982153721,2470.0
macro avg,0.683456775706677,0.6879510246226507,0.6787770822178948,2470.0
weighted avg,0.7088123774126024,0.7048582995951417,0.700807788195619,2470.0
