,precision,recall,f1-score,support
Nonconformity,0.6304347826086957,0.58,0.6041666666666666,50.0
Cleanliness,0.7192982456140351,0.6833333333333333,0.7008547008547008,60.0
Measurement,0.8606060606060606,0.8875,0.8738461538461538,160.0
OBDH,0.8314606741573034,0.74,0.783068783068783,200.0
Safety / Risk (Control),0.6981132075471698,0.6548672566371682,0.6757990867579908,113.0
Space Environment,0.73,0.8264150943396227,0.7752212389380531,265.0
Quality control,0.8555555555555555,0.7549019607843137,0.8020833333333334,204.0
Parameter,0.526595744680851,0.5439560439560439,0.5351351351351351,182.0
Power,0.7828571428571428,0.7740112994350282,0.7784090909090909,177.0
GN&C,0.6049382716049383,0.620253164556962,0.6125,79.0
Structure & Mechanism,0.6217948717948718,0.5025906735751295,0.5558739255014327,193.0
Project Organisation / Documentation,0.5660377358490566,0.5660377358490566,0.5660377358490566,53.0
Project Scope,0.7238095238095238,0.6031746031746031,0.658008658008658,126.0
Thermal,0.8163265306122449,0.7692307692307693,0.7920792079207921,104.0
Materials / EEEs,0.7658227848101266,0.654054054054054,0.7055393586005831,185.0
Propulsion,0.7733333333333333,0.725,0.7483870967741936,80.0
System engineering,0.6195652173913043,0.5327102803738317,0.5728643216080402,107.0
Telecom.,0.7708333333333334,0.8473282442748091,0.8072727272727273,131.0
micro avg,0.7305897327110734,0.6974483596597812,0.7136344799005387,2469.0
macro avg,0.7165212786758637,0.6814091396430403,0.6970637345025217,2469.0
weighted avg,0.7309258905145606,0.6974483596597812,0.7119024464738593,2469.0
