,precision,recall,f1-score,support
GN&C,0.5925925925925926,0.7058823529411765,0.6442953020134228,68.0
Project Scope,0.7755102040816326,0.7169811320754716,0.7450980392156863,106.0
Measurement,0.8888888888888888,0.907563025210084,0.8981288981288982,238.0
OBDH,0.8598130841121495,0.739946380697051,0.7953890489913544,373.0
Propulsion,0.782051282051282,0.782051282051282,0.782051282051282,78.0
Power,0.7535211267605634,0.8045112781954887,0.7781818181818182,133.0
Thermal,0.90625,0.7631578947368421,0.8285714285714286,114.0
Cleanliness,0.6037735849056604,0.8421052631578947,0.7032967032967034,38.0
Materials / EEEs,0.6410256410256411,0.7246376811594203,0.6802721088435374,69.0
Quality control,0.7799227799227799,0.7565543071161048,0.7680608365019012,267.0
Space Environment,0.8148148148148148,0.8693009118541033,0.8411764705882353,329.0
Nonconformity,0.5714285714285714,0.42857142857142855,0.4897959183673469,56.0
Safety / Risk (Control),0.6910569105691057,0.7522123893805309,0.7203389830508474,113.0
Structure & Mechanism,0.6534653465346535,0.4714285714285714,0.5477178423236515,140.0
System engineering,0.59375,0.6867469879518072,0.6368715083798883,83.0
Telecom.,0.6386554621848739,0.6608695652173913,0.6495726495726496,115.0
Parameter,0.46875,0.4225352112676056,0.4444444444444444,142.0
Project Organisation / Documentation,0.4745762711864407,0.3684210526315789,0.4148148148148148,76.0
micro avg,0.7443273905996759,0.7237982663514578,0.7339192968437874,2538.0
macro avg,0.6938803645033139,0.6890820397579906,0.6871154498521062,2538.0
weighted avg,0.7445690108978419,0.7237982663514578,0.7310368574368085,2538.0
