,precision,recall,f1-score,support
Cleanliness,0.7758620689655172,0.8035714285714286,0.7894736842105263,56.0
Telecom.,0.7058823529411765,0.8059701492537313,0.7526132404181185,134.0
Power,0.7437185929648241,0.8131868131868132,0.7769028871391076,182.0
System engineering,0.5882352941176471,0.6542056074766355,0.6194690265486725,107.0
Materials / EEEs,0.8106508875739645,0.6715686274509803,0.7345844504021448,204.0
Safety / Risk (Control),0.717391304347826,0.5945945945945946,0.6502463054187192,111.0
Project Scope,0.7333333333333333,0.6015625,0.6609442060085837,128.0
Propulsion,0.6301369863013698,0.647887323943662,0.6388888888888888,71.0
Measurement,0.8982035928143712,0.9316770186335404,0.9146341463414634,161.0
Project Organisation / Documentation,0.38,0.7037037037037037,0.4935064935064935,54.0
Nonconformity,0.5636363636363636,0.62,0.5904761904761905,50.0
Quality control,0.7572815533980582,0.7647058823529411,0.7609756097560976,204.0
Parameter,0.6280487804878049,0.5628415300546448,0.5936599423631124,183.0
Space Environment,0.6654545454545454,0.6727941176470589,0.6691042047531993,272.0
Structure & Mechanism,0.6447368421052632,0.5077720207253886,0.5681159420289855,193.0
OBDH,0.7365591397849462,0.6782178217821783,0.7061855670103093,202.0
GN&C,0.5862068965517241,0.6455696202531646,0.6144578313253012,79.0
Thermal,0.7889908256880734,0.819047619047619,0.8037383177570093,105.0
micro avg,0.7006885378695829,0.6931089743589743,0.6968781470292045,2496.0
macro avg,0.6863516311370449,0.6943820210376714,0.685443163019607,2496.0
weighted avg,0.7075529707880143,0.6931089743589743,0.6968227955737697,2496.0
