,precision,recall,f1-score,support
GN&C,0.7610619469026548,0.5771812080536913,0.6564885496183206,149.0
Propulsion,0.7362637362637363,0.6836734693877551,0.708994708994709,98.0
Power,0.7777777777777778,0.8105263157894737,0.7938144329896907,190.0
System engineering,0.711864406779661,0.75,0.7304347826086957,112.0
Nonconformity,0.5526315789473685,0.375,0.44680851063829785,56.0
Quality control,0.7606177606177607,0.7755905511811023,0.7680311890838206,254.0
OBDH,0.6820276497695853,0.751269035532995,0.714975845410628,197.0
Thermal,0.84,0.7636363636363637,0.8,110.0
Project Scope,0.7166666666666667,0.6466165413533834,0.6798418972332015,133.0
Structure & Mechanism,0.5652173913043478,0.6842105263157895,0.6190476190476191,95.0
Measurement,0.8922155688622755,0.8713450292397661,0.8816568047337278,171.0
Space Environment,0.6650246305418719,0.8035714285714286,0.7277628032345014,168.0
Materials / EEEs,0.717948717948718,0.8057553956834532,0.7593220338983051,139.0
Project Organisation / Documentation,0.5294117647058824,0.569620253164557,0.5487804878048781,79.0
Telecom.,0.7569444444444444,0.7124183006535948,0.734006734006734,153.0
Cleanliness,0.6923076923076923,0.7605633802816901,0.7248322147651006,71.0
Parameter,0.5069444444444444,0.48026315789473684,0.49324324324324326,152.0
Safety / Risk (Control),0.8390804597701149,0.6293103448275862,0.7192118226600985,116.0
micro avg,0.7159884915741882,0.7130577159230455,0.7145200984413453,2443.0
macro avg,0.7057781465586113,0.6916972945315202,0.6948474266650874,2443.0
weighted avg,0.7197058327869212,0.7130577159230455,0.7131421192629983,2443.0
