,precision,recall,f1-score,support
Safety / Risk (Control),0.6845637583892618,0.7786259541984732,0.7285714285714285,131.0
Propulsion,0.5142857142857142,0.3829787234042553,0.43902439024390244,47.0
Power,0.7837837837837838,0.7219917012448133,0.7516198704103672,241.0
Materials / EEEs,0.72,0.625,0.6691449814126395,144.0
Telecom.,0.4895833333333333,0.8103448275862069,0.6103896103896104,58.0
Project Organisation / Documentation,0.6296296296296297,0.5230769230769231,0.5714285714285714,65.0
OBDH,0.7105263157894737,0.6923076923076923,0.7012987012987013,234.0
GN&C,0.7738095238095238,0.7647058823529411,0.7692307692307693,85.0
Cleanliness,0.7291666666666666,0.7954545454545454,0.7608695652173914,44.0
Project Scope,0.6021505376344086,0.717948717948718,0.6549707602339181,78.0
Parameter,0.4875,0.624,0.5473684210526316,125.0
Thermal,0.6699029126213593,0.8518518518518519,0.75,81.0
Structure & Mechanism,0.4,0.6571428571428571,0.4972972972972973,70.0
Space Environment,0.7855297157622739,0.8306010928961749,0.8074369189907038,366.0
System engineering,0.6707317073170732,0.7432432432432432,0.7051282051282052,148.0
Quality control,0.8143459915611815,0.6748251748251748,0.7380497131931166,286.0
Nonconformity,0.39436619718309857,0.5957446808510638,0.4745762711864407,47.0
Measurement,0.9151515151515152,0.8531073446327684,0.8830409356725146,177.0
micro avg,0.694794952681388,0.7259991759373713,0.7100544025790853,2427.0
macro avg,0.6541681834954609,0.7023861785009835,0.669969245053234,2427.0
weighted avg,0.7129059589489524,0.7259991759373713,0.7143479663219642,2427.0
