,precision,recall,f1-score,support
Telecom.,0.6630434782608695,0.6288659793814433,0.6455026455026455,97.0
OBDH,0.6822429906542056,0.7348993288590604,0.7075928917609047,298.0
Propulsion,0.6229508196721312,0.7307692307692307,0.672566371681416,52.0
Nonconformity,0.6666666666666666,0.64,0.6530612244897959,75.0
Project Organisation / Documentation,0.5072463768115942,0.4430379746835443,0.47297297297297297,79.0
Thermal,0.646551724137931,0.7731958762886598,0.704225352112676,97.0
Parameter,0.51,0.5666666666666667,0.5368421052631579,180.0
Measurement,0.95,0.8888888888888888,0.918429003021148,171.0
Space Environment,0.4236453201970443,0.6515151515151515,0.5134328358208955,132.0
Cleanliness,0.7647058823529411,0.8125,0.7878787878787878,32.0
Quality control,0.7081081081081081,0.6968085106382979,0.7024128686327078,188.0
Structure & Mechanism,0.6210526315789474,0.44360902255639095,0.5175438596491229,133.0
Power,0.7569444444444444,0.8861788617886179,0.8164794007490637,123.0
Project Scope,0.6470588235294118,0.5365853658536586,0.5866666666666667,82.0
Materials / EEEs,0.7226277372262774,0.7795275590551181,0.75,127.0
GN&C,0.8491620111731844,0.6785714285714286,0.7543424317617866,224.0
System engineering,0.6796116504854369,0.603448275862069,0.639269406392694,116.0
Safety / Risk (Control),0.696969696969697,0.7931034482758621,0.7419354838709677,116.0
micro avg,0.6739772247996626,0.6881998277347114,0.6810142765821436,2322.0
macro avg,0.6732549090149385,0.6826761983141161,0.6733974615681895,2322.0
weighted avg,0.685186729843125,0.6881998277347114,0.6820135474277527,2322.0
