,precision,recall,f1-score,support
OBDH,0.8274509803921568,0.6614420062695925,0.735191637630662,319.0
System engineering,0.6929824561403509,0.7117117117117117,0.7022222222222222,111.0
Quality control,0.7451923076923077,0.7908163265306123,0.7673267326732673,196.0
Materials / EEEs,0.5333333333333333,0.8311688311688312,0.649746192893401,77.0
GN&C,0.7927927927927928,0.7586206896551724,0.775330396475771,116.0
Telecom.,0.6620370370370371,0.8171428571428572,0.731457800511509,175.0
Power,0.8449612403100775,0.7785714285714286,0.8104089219330854,140.0
Safety / Risk (Control),0.7731958762886598,0.7211538461538461,0.746268656716418,104.0
Propulsion,0.8115942028985508,0.7887323943661971,0.8,71.0
Project Scope,0.5104166666666666,0.5632183908045977,0.5355191256830601,87.0
Cleanliness,0.6911764705882353,0.9215686274509803,0.7899159663865546,51.0
Measurement,0.8514851485148515,0.91005291005291,0.8797953964194374,189.0
Thermal,0.8518518518518519,0.7666666666666667,0.8070175438596491,60.0
Project Organisation / Documentation,0.53125,0.5,0.5151515151515151,68.0
Structure & Mechanism,0.6666666666666666,0.45454545454545453,0.5405405405405406,88.0
Nonconformity,0.5740740740740741,0.7380952380952381,0.6458333333333334,42.0
Parameter,0.5111111111111111,0.5897435897435898,0.5476190476190477,156.0
Space Environment,0.6984924623115578,0.7277486910994765,0.7128205128205128,191.0
micro avg,0.7099303135888502,0.7273538598839804,0.7185364778487988,2241.0
macro avg,0.6983369265927934,0.7239444255571758,0.7051203079372214,2241.0
weighted avg,0.7210616147134077,0.7273538598839804,0.7191389320515824,2241.0
