,precision,recall,f1-score,support
Power,0.7269076305220884,0.7801724137931034,0.7525987525987526,232.0
GN&C,0.7884615384615384,0.780952380952381,0.784688995215311,105.0
Propulsion,0.8316831683168316,0.7567567567567568,0.7924528301886793,111.0
Structure & Mechanism,0.6133333333333333,0.609271523178808,0.6112956810631229,151.0
Safety / Risk (Control),0.7222222222222222,0.65,0.6842105263157895,100.0
Materials / EEEs,0.583941605839416,0.7339449541284404,0.6504065040650406,109.0
Quality control,0.6504065040650406,0.7239819004524887,0.6852248394004282,221.0
Parameter,0.5545023696682464,0.5939086294416244,0.5735294117647058,197.0
Telecom.,0.8804347826086957,0.5912408759124088,0.7074235807860262,137.0
Project Scope,0.5256410256410257,0.4880952380952381,0.5061728395061729,84.0
Cleanliness,0.6111111111111112,0.7333333333333333,0.6666666666666666,30.0
System engineering,0.6616541353383458,0.6567164179104478,0.6591760299625468,134.0
Measurement,0.9393939393939394,0.8333333333333334,0.8831908831908832,186.0
Project Organisation / Documentation,0.5096153846153846,0.4732142857142857,0.49074074074074076,112.0
Space Environment,0.851528384279476,0.75,0.7975460122699386,260.0
OBDH,0.5862068965517241,0.8040540540540541,0.6780626780626781,148.0
Nonconformity,0.45,0.5,0.47368421052631576,36.0
Thermal,0.8115942028985508,0.7368421052631579,0.7724137931034483,76.0
micro avg,0.6930652441526467,0.6953478797859202,0.6942046855733662,2429.0
macro avg,0.6832576797148316,0.6775454556844367,0.676082498634847,2429.0
weighted avg,0.705977609297875,0.6953478797859202,0.6963653503613527,2429.0
