,precision,recall,f1-score,support
Materials / EEEs,0.7256637168141593,0.7321428571428571,0.7288888888888889,112.0
Power,0.753731343283582,0.8278688524590164,0.7890625,122.0
Project Organisation / Documentation,0.5783132530120482,0.5393258426966292,0.5581395348837209,89.0
Propulsion,0.7341772151898734,0.6590909090909091,0.6946107784431138,88.0
Nonconformity,0.6666666666666666,0.5641025641025641,0.6111111111111112,39.0
Thermal,0.3695652173913043,0.5,0.425,34.0
Safety / Risk (Control),0.7435897435897436,0.6692307692307692,0.7044534412955465,130.0
GN&C,0.8478260869565217,0.7428571428571429,0.7918781725888325,105.0
Measurement,0.8924731182795699,0.8258706467661692,0.8578811369509044,201.0
Cleanliness,0.7,0.7101449275362319,0.7050359712230215,69.0
Project Scope,0.5391304347826087,0.6326530612244898,0.5821596244131455,98.0
Space Environment,0.7247191011235955,0.8716216216216216,0.7914110429447853,296.0
System engineering,0.5503875968992248,0.5503875968992248,0.5503875968992248,129.0
Structure & Mechanism,0.5869565217391305,0.5328947368421053,0.5586206896551724,152.0
Parameter,0.45,0.4921875,0.4701492537313433,128.0
OBDH,0.754863813229572,0.8738738738738738,0.8100208768267223,222.0
Quality control,0.6602316602316602,0.684,0.6719056974459725,250.0
Telecom.,0.9375,0.6287425149700598,0.7526881720430108,167.0
micro avg,0.6966246441642945,0.704648292883587,0.7006134969325153,2431.0
macro avg,0.678655304954959,0.6687219676285369,0.6696335827413621,2431.0
weighted avg,0.7057247898073514,0.704648292883587,0.7008190752718445,2431.0
