,precision,recall,f1-score,support
Parameter,0.5203252032520326,0.7314285714285714,0.6080760095011877,175.0
Power,0.73224043715847,0.7928994082840237,0.7613636363636364,169.0
GN&C,0.8771929824561403,0.5263157894736842,0.6578947368421053,95.0
Quality control,0.7276785714285714,0.7442922374429224,0.7358916478555305,219.0
Cleanliness,0.7333333333333333,0.7213114754098361,0.7272727272727273,61.0
Telecom.,0.7723577235772358,0.7723577235772358,0.7723577235772358,123.0
Nonconformity,0.6756756756756757,0.43103448275862066,0.5263157894736842,58.0
Thermal,0.8545454545454545,0.746031746031746,0.7966101694915254,63.0
Propulsion,0.8514851485148515,0.86,0.8557213930348259,100.0
Space Environment,0.717948717948718,0.8536585365853658,0.7799442896935933,328.0
Project Scope,0.6078431372549019,0.7045454545454546,0.6526315789473685,88.0
Materials / EEEs,0.6785714285714286,0.7402597402597403,0.7080745341614907,77.0
Structure & Mechanism,0.6428571428571429,0.5853658536585366,0.6127659574468085,123.0
Measurement,0.9481132075471698,0.9178082191780822,0.9327146171693735,219.0
System engineering,0.6424242424242425,0.7910447761194029,0.7090301003344481,134.0
OBDH,0.8470588235294118,0.8404669260700389,0.84375,257.0
Safety / Risk (Control),0.7614678899082569,0.7155172413793104,0.7377777777777778,116.0
Project Organisation / Documentation,0.6,0.4636363636363636,0.5230769230769231,110.0
micro avg,0.7307692307692307,0.7554671968190855,0.7429130009775171,2515.0
macro avg,0.7328399511101686,0.7187763636577186,0.7189594228900134,2515.0
weighted avg,0.740140248066236,0.7554671968190855,0.7422571711538506,2515.0
