,precision,recall,f1-score,support
Parameter,0.5368421052631579,0.5930232558139535,0.56353591160221,86.0
Project Scope,0.5769230769230769,0.631578947368421,0.6030150753768844,95.0
Measurement,0.883248730964467,0.883248730964467,0.883248730964467,197.0
Thermal,0.7701149425287356,0.7976190476190477,0.783625730994152,84.0
Quality control,0.7729257641921398,0.7937219730941704,0.7831858407079646,223.0
Power,0.7918781725888325,0.9397590361445783,0.859504132231405,166.0
Telecom.,0.8013245033112583,0.9097744360902256,0.852112676056338,133.0
Structure & Mechanism,0.7078651685393258,0.6631578947368421,0.6847826086956522,95.0
Nonconformity,0.6666666666666666,0.7441860465116279,0.7032967032967034,43.0
OBDH,0.891566265060241,0.757679180887372,0.8191881918819188,293.0
GN&C,0.9166666666666666,0.7777777777777778,0.8415300546448088,99.0
Safety / Risk (Control),0.7023809523809523,0.6555555555555556,0.6781609195402298,90.0
Propulsion,0.6909090909090909,0.6785714285714286,0.6846846846846847,56.0
Materials / EEEs,0.7804878048780488,0.6956521739130435,0.735632183908046,92.0
Project Organisation / Documentation,0.5,0.5584415584415584,0.5276073619631901,77.0
System engineering,0.7177914110429447,0.8125,0.762214983713355,144.0
Space Environment,0.782608695652174,0.7248322147651006,0.7526132404181185,149.0
Cleanliness,0.84375,0.75,0.7941176470588235,36.0
micro avg,0.7631336405529954,0.7673772011121409,0.7652495378927912,2158.0
macro avg,0.7407750009759877,0.7426155143475095,0.7395587043188308,2158.0
weighted avg,0.7694646221383757,0.7673772011121409,0.766001499846051,2158.0
