,precision,recall,f1-score,support
Safety / Risk (Control),0.7040816326530612,0.7582417582417582,0.7301587301587301,91.0
Nonconformity,0.6333333333333333,0.6229508196721312,0.628099173553719,61.0
Telecom.,0.717948717948718,0.6176470588235294,0.6640316205533597,136.0
OBDH,0.7031802120141343,0.7803921568627451,0.7397769516728625,255.0
Space Environment,0.8264840182648402,0.7973568281938326,0.8116591928251121,227.0
Parameter,0.55,0.6068965517241379,0.5770491803278689,145.0
Measurement,0.7967479674796748,0.8596491228070176,0.8270042194092827,114.0
Quality control,0.7777777777777778,0.7489711934156379,0.7631027253668763,243.0
Structure & Mechanism,0.44545454545454544,0.6363636363636364,0.5240641711229946,77.0
Project Organisation / Documentation,0.5111111111111111,0.46464646464646464,0.48677248677248675,99.0
GN&C,0.8555555555555555,0.6754385964912281,0.7549019607843137,114.0
Cleanliness,0.8888888888888888,0.5970149253731343,0.7142857142857143,67.0
Thermal,0.8571428571428571,0.8108108108108109,0.8333333333333334,74.0
System engineering,0.7925925925925926,0.6257309941520468,0.6993464052287581,171.0
Propulsion,0.696,0.8207547169811321,0.7532467532467533,106.0
Power,0.6956521739130435,0.8807339449541285,0.7773279352226721,109.0
Project Scope,0.6484375,0.6859504132231405,0.6666666666666666,121.0
Materials / EEEs,0.8072289156626506,0.7570621468926554,0.7813411078717201,177.0
micro avg,0.7185278126306984,0.7197318810222036,0.7191293428212642,2387.0
macro avg,0.7170898777662658,0.7081451188682871,0.7073426849112902,2387.0
weighted avg,0.7284211220057805,0.7197318810222036,0.7199800408698712,2387.0
