,precision,recall,f1-score,support
Structure & Mechanism,0.6739130434782609,0.58125,0.6241610738255033,160.0
Quality control,0.7216981132075472,0.7727272727272727,0.7463414634146341,198.0
GN&C,0.7348484848484849,0.6783216783216783,0.7054545454545454,143.0
System engineering,0.5251798561151079,0.5748031496062992,0.5488721804511278,127.0
Thermal,0.6666666666666666,0.6285714285714286,0.6470588235294118,35.0
Propulsion,0.7073170731707317,0.725,0.7160493827160493,80.0
Power,0.6993865030674846,0.8837209302325582,0.7808219178082192,129.0
Safety / Risk (Control),0.803921568627451,0.6456692913385826,0.7161572052401747,127.0
Cleanliness,0.8,0.9,0.8470588235294118,40.0
Measurement,0.9213973799126638,0.8373015873015873,0.8773388773388774,252.0
Space Environment,0.7438271604938271,0.7774193548387097,0.7602523659305994,310.0
Telecom.,0.8376068376068376,0.7480916030534351,0.7903225806451613,131.0
OBDH,0.7989690721649485,0.8072916666666666,0.8031088082901554,192.0
Materials / EEEs,0.7712765957446809,0.7591623036649214,0.7651715039577837,191.0
Project Organisation / Documentation,0.6521739130434783,0.4017857142857143,0.4972375690607735,112.0
Nonconformity,0.3880597014925373,0.6190476190476191,0.47706422018348627,42.0
Parameter,0.47058823529411764,0.48,0.4752475247524752,150.0
Project Scope,0.6166666666666667,0.6727272727272727,0.6434782608695652,110.0
micro avg,0.7159952134024731,0.7097667062079873,0.7128673550436855,2529.0
macro avg,0.6963053817556386,0.6940494929102081,0.690066507055442,2529.0
weighted avg,0.7227068354849492,0.7097667062079873,0.7125982929068034,2529.0
