,precision,recall,f1-score,support
Safety / Risk (Control),0.6375,0.5368421052631579,0.5828571428571429,95.0
Space Environment,0.826879271070615,0.7610062893081762,0.7925764192139738,477.0
Materials / EEEs,0.6106870229007634,0.8080808080808081,0.6956521739130435,99.0
Nonconformity,0.4864864864864865,0.6101694915254238,0.5413533834586466,59.0
Measurement,0.9449152542372882,0.8228782287822878,0.8796844181459567,271.0
Parameter,0.5911602209944752,0.49767441860465117,0.5404040404040404,215.0
OBDH,0.6878612716763006,0.7083333333333334,0.6979472140762464,168.0
Propulsion,0.5268817204301075,0.6049382716049383,0.5632183908045977,81.0
Quality control,0.7138047138047138,0.75177304964539,0.7322970639032815,282.0
Structure & Mechanism,0.556390977443609,0.4805194805194805,0.5156794425087108,154.0
System engineering,0.5031847133757962,0.7452830188679245,0.6007604562737643,106.0
GN&C,0.5714285714285714,0.7037037037037037,0.6307053941908713,108.0
Project Organisation / Documentation,0.5229357798165137,0.456,0.48717948717948717,125.0
Power,0.6910569105691057,0.625,0.6563706563706564,136.0
Telecom.,0.7563025210084033,0.6164383561643836,0.6792452830188679,146.0
Thermal,0.6535947712418301,0.8333333333333334,0.7326007326007326,120.0
Project Scope,0.625,0.7731958762886598,0.6912442396313364,97.0
Cleanliness,0.8414634146341463,0.7666666666666667,0.8023255813953488,90.0
micro avg,0.6865513589834098,0.6875220926122305,0.6870363829035676,2829.0
macro avg,0.652640756728818,0.6723242462051289,0.656783417774817,2829.0
weighted avg,0.6971163626999942,0.6875220926122305,0.687847966798713,2829.0
