,precision,recall,f1-score,support
Space Environment,0.6424581005586593,0.71875,0.6784660766961652,160.0
GN&C,0.7205882352941176,0.7538461538461538,0.7368421052631579,130.0
Structure & Mechanism,0.7934782608695652,0.6759259259259259,0.73,108.0
Quality control,0.7866666666666666,0.7468354430379747,0.7662337662337663,237.0
OBDH,0.8432835820895522,0.7018633540372671,0.7661016949152543,322.0
Measurement,0.9731182795698925,0.8743961352657005,0.9211195928753181,207.0
System engineering,0.7133333333333334,0.7278911564625851,0.7205387205387206,147.0
Propulsion,0.7377049180327869,0.6617647058823529,0.6976744186046512,68.0
Project Organisation / Documentation,0.5921052631578947,0.5113636363636364,0.5487804878048781,88.0
Telecom.,0.6609195402298851,0.7986111111111112,0.7232704402515723,144.0
Power,0.7175925925925926,0.842391304347826,0.775,184.0
Thermal,0.9111111111111111,0.7735849056603774,0.8367346938775511,106.0
Safety / Risk (Control),0.5510204081632653,0.574468085106383,0.5625,94.0
Project Scope,0.6067415730337079,0.5510204081632653,0.5775401069518716,98.0
Materials / EEEs,0.6666666666666666,0.6260869565217392,0.6457399103139013,115.0
Parameter,0.44554455445544555,0.5113636363636364,0.47619047619047616,88.0
Cleanliness,0.6862745098039216,0.7446808510638298,0.7142857142857143,47.0
Nonconformity,0.5686274509803921,0.6041666666666666,0.5858585858585859,48.0
micro avg,0.7264993619736282,0.7143454621497282,0.720371151412906,2391.0
macro avg,0.7009575025894141,0.6888339131014685,0.6923820439256435,2391.0
weighted avg,0.7357485746292844,0.7143454621497282,0.7221112208549022,2391.0
