,precision,recall,f1-score,support
System engineering,0.4957983193277311,0.6210526315789474,0.5514018691588785,95.0
Propulsion,0.6666666666666666,0.5348837209302325,0.5935483870967742,86.0
Measurement,0.9105263157894737,0.8564356435643564,0.8826530612244898,202.0
OBDH,0.5487179487179488,0.6114285714285714,0.5783783783783784,175.0
Safety / Risk (Control),0.6515151515151515,0.7288135593220338,0.688,118.0
Structure & Mechanism,0.4806201550387597,0.7380952380952381,0.5821596244131455,84.0
GN&C,0.7857142857142857,0.6748466257668712,0.7260726072607261,163.0
Project Organisation / Documentation,0.4567901234567901,0.43529411764705883,0.4457831325301205,85.0
Cleanliness,0.7619047619047619,0.8205128205128205,0.7901234567901234,39.0
Project Scope,0.6428571428571429,0.7105263157894737,0.675,114.0
Materials / EEEs,0.7368421052631579,0.4540540540540541,0.5618729096989966,185.0
Thermal,0.6923076923076923,0.9130434782608695,0.7875,69.0
Power,0.6292682926829268,0.7247191011235955,0.6736292428198434,178.0
Telecom.,0.7733333333333333,0.5178571428571429,0.6203208556149733,224.0
Nonconformity,0.7083333333333334,0.5666666666666667,0.6296296296296297,30.0
Space Environment,0.7838541666666666,0.869942196531792,0.8246575342465754,346.0
Quality control,0.7283950617283951,0.7831858407079646,0.7547974413646056,226.0
Parameter,0.6111111111111112,0.5025380710659898,0.5515320334261838,197.0
micro avg,0.6852850539291218,0.680045871559633,0.6826554105909439,2616.0
macro avg,0.6702531093008516,0.6702164331057598,0.6620588979807469,2616.0
weighted avg,0.695079035919418,0.680045871559633,0.679522320796491,2616.0
