,precision,recall,f1-score,support
Project Scope,0.7008547008547008,0.6612903225806451,0.6804979253112033,124.0
Materials / EEEs,0.8014705882352942,0.5677083333333334,0.6646341463414634,192.0
Project Organisation / Documentation,0.4457831325301205,0.3627450980392157,0.4,102.0
Telecom.,0.8058252427184466,0.5886524822695035,0.680327868852459,141.0
Thermal,0.8554216867469879,0.7802197802197802,0.8160919540229885,91.0
Cleanliness,0.8823529411764706,0.5421686746987951,0.6716417910447762,83.0
System engineering,0.7919463087248322,0.6483516483516484,0.7129909365558912,182.0
Structure & Mechanism,0.36936936936936937,0.47674418604651164,0.41624365482233505,86.0
OBDH,0.7163636363636363,0.718978102189781,0.7176684881602914,274.0
GN&C,0.7747747747747747,0.6370370370370371,0.6991869918699187,135.0
Space Environment,0.6233333333333333,0.7890295358649789,0.6964618249534451,237.0
Propulsion,0.7345132743362832,0.6148148148148148,0.6693548387096774,135.0
Measurement,0.7575757575757576,0.8547008547008547,0.8032128514056225,117.0
Nonconformity,0.6857142857142857,0.676056338028169,0.6808510638297872,71.0
Parameter,0.5,0.5741935483870968,0.5345345345345346,155.0
Safety / Risk (Control),0.7682926829268293,0.6702127659574468,0.7159090909090909,94.0
Quality control,0.7479338842975206,0.7327935222672065,0.7402862985685071,247.0
Power,0.6319018404907976,0.8583333333333333,0.7279151943462897,120.0
micro avg,0.6894757903161265,0.6662799690641918,0.6776794493608653,2586.0
macro avg,0.6996348577871911,0.6530016876733417,0.6682116363465712,2586.0
weighted avg,0.7046539982772828,0.6662799690641918,0.6780396792713984,2586.0
