,precision,recall,f1-score,support
Thermal,0.8604651162790697,0.6491228070175439,0.74,114.0
Space Environment,0.8128491620111732,0.8844984802431611,0.8471615720524017,329.0
Cleanliness,0.5,0.6052631578947368,0.5476190476190477,38.0
Power,0.7293233082706767,0.7293233082706767,0.7293233082706767,133.0
Measurement,0.8987341772151899,0.8949579831932774,0.8968421052631579,238.0
GN&C,0.7878787878787878,0.7647058823529411,0.7761194029850746,68.0
Safety / Risk (Control),0.7338709677419355,0.8053097345132744,0.7679324894514767,113.0
OBDH,0.9093851132686084,0.7533512064343163,0.8240469208211144,373.0
Nonconformity,0.5714285714285714,0.42857142857142855,0.4897959183673469,56.0
System engineering,0.6341463414634146,0.6265060240963856,0.6303030303030303,83.0
Project Organisation / Documentation,0.4722222222222222,0.4473684210526316,0.4594594594594595,76.0
Propulsion,0.7261904761904762,0.782051282051282,0.7530864197530864,78.0
Telecom.,0.5945945945945946,0.5739130434782609,0.584070796460177,115.0
Structure & Mechanism,0.5877862595419847,0.55,0.5682656826568265,140.0
Materials / EEEs,0.676056338028169,0.6956521739130435,0.6857142857142857,69.0
Parameter,0.4855072463768116,0.47183098591549294,0.4785714285714286,142.0
Quality control,0.7846153846153846,0.7640449438202247,0.7741935483870968,267.0
Project Scope,0.7666666666666667,0.6509433962264151,0.7040816326530612,106.0
micro avg,0.7475409836065574,0.7186761229314421,0.732824427480916,2538.0
macro avg,0.6962067074329855,0.6709674588358385,0.680921502710486,2538.0
weighted avg,0.7507116602326175,0.7186761229314421,0.7320719358017888,2538.0
