,precision,recall,f1-score,support
Quality control,0.7763713080168776,0.6388888888888888,0.700952380952381,288.0
Project Scope,0.6582278481012658,0.6753246753246753,0.6666666666666666,77.0
Project Organisation / Documentation,0.7169811320754716,0.5671641791044776,0.6333333333333333,67.0
Nonconformity,0.5254237288135594,0.6326530612244898,0.5740740740740741,49.0
Parameter,0.47058823529411764,0.5079365079365079,0.48854961832061067,126.0
Power,0.8584905660377359,0.7811158798283262,0.8179775280898877,233.0
OBDH,0.8036529680365296,0.7521367521367521,0.7770419426048565,234.0
Materials / EEEs,0.608,0.562962962962963,0.5846153846153846,135.0
Measurement,0.9539473684210527,0.8430232558139535,0.8950617283950617,172.0
Space Environment,0.8057971014492754,0.8034682080924855,0.804630969609262,346.0
System engineering,0.6344827586206897,0.6258503401360545,0.6301369863013698,147.0
Cleanliness,0.6818181818181818,0.6818181818181818,0.6818181818181818,44.0
Telecom.,0.7076923076923077,0.8070175438596491,0.7540983606557377,57.0
Propulsion,0.6086956521739131,0.5714285714285714,0.5894736842105263,49.0
Thermal,0.7386363636363636,0.8024691358024691,0.7692307692307693,81.0
Safety / Risk (Control),0.6890243902439024,0.849624060150376,0.7609427609427609,133.0
GN&C,0.7126436781609196,0.7654320987654321,0.7380952380952381,81.0
Structure & Mechanism,0.4224137931034483,0.7313432835820896,0.5355191256830601,67.0
micro avg,0.7213322091062394,0.7170997485331098,0.7192097519966373,2386.0
macro avg,0.6873826323164228,0.6999809770475747,0.68901215186662,2386.0
weighted avg,0.7340038153964892,0.7170997485331098,0.7220020752367328,2386.0
