,precision,recall,f1-score,support
Safety / Risk (Control),0.8571428571428571,0.6792452830188679,0.7578947368421053,159.0
Power,0.6436781609195402,0.7943262411347518,0.7111111111111111,141.0
Project Scope,0.5833333333333334,0.4375,0.5,80.0
Propulsion,0.7534246575342466,0.6470588235294118,0.6962025316455697,85.0
Space Environment,0.6710526315789473,0.7774390243902439,0.7203389830508474,328.0
System engineering,0.5813953488372093,0.5376344086021505,0.5586592178770949,93.0
Structure & Mechanism,0.6631578947368421,0.44680851063829785,0.5338983050847458,141.0
Materials / EEEs,0.7349397590361446,0.8133333333333334,0.7721518987341772,75.0
Measurement,0.936,0.9,0.9176470588235294,260.0
Project Organisation / Documentation,0.4,0.5057471264367817,0.4467005076142132,87.0
Telecom.,0.9019607843137255,0.71875,0.8,192.0
GN&C,0.6351351351351351,0.6861313868613139,0.6596491228070176,137.0
Nonconformity,0.6111111111111112,0.5641025641025641,0.5866666666666667,39.0
Thermal,0.7706422018348624,0.7924528301886793,0.7813953488372093,106.0
Cleanliness,0.7368421052631579,0.4745762711864407,0.5773195876288659,59.0
Quality control,0.7292576419213974,0.8226600985221675,0.7731481481481481,203.0
Parameter,0.5629139072847682,0.551948051948052,0.5573770491803278,154.0
OBDH,0.7219917012448133,0.8365384615384616,0.7750556792873051,208.0
micro avg,0.7116443745082612,0.7102473498233216,0.7109451758695225,2547.0
macro avg,0.6941099572904494,0.6659029119684177,0.6736231085188298,2547.0
weighted avg,0.7195917805845037,0.7102473498233216,0.7092879014555407,2547.0
