,precision,recall,f1-score,support
Thermal,0.7835051546391752,0.8,0.7916666666666666,95.0
Nonconformity,0.6923076923076923,0.6164383561643836,0.6521739130434783,73.0
Materials / EEEs,0.7319587628865979,0.6120689655172413,0.6666666666666666,116.0
Space Environment,0.41228070175438597,0.752,0.5325779036827195,125.0
Project Scope,0.734375,0.573170731707317,0.6438356164383562,82.0
Cleanliness,0.6829268292682927,0.9333333333333333,0.7887323943661971,30.0
Power,0.8083333333333333,0.8151260504201681,0.8117154811715481,119.0
OBDH,0.7622377622377622,0.7440273037542662,0.7530224525043178,293.0
Quality control,0.702247191011236,0.6578947368421053,0.6793478260869565,190.0
Parameter,0.5604395604395604,0.5730337078651685,0.5666666666666667,178.0
Measurement,0.934640522875817,0.8461538461538461,0.8881987577639752,169.0
Propulsion,0.78,0.6964285714285714,0.7358490566037735,56.0
Structure & Mechanism,0.452991452991453,0.40458015267175573,0.4274193548387097,131.0
Project Organisation / Documentation,0.43333333333333335,0.3291139240506329,0.37410071942446044,79.0
Telecom.,0.6629213483146067,0.6082474226804123,0.6344086021505376,97.0
Safety / Risk (Control),0.6402877697841727,0.7672413793103449,0.6980392156862745,116.0
GN&C,0.8181818181818182,0.627906976744186,0.7105263157894737,215.0
System engineering,0.6015037593984962,0.6837606837606838,0.64,117.0
micro avg,0.674469964664311,0.6694432266549759,0.671947194719472,2281.0
macro avg,0.6774706662643185,0.6689181190224676,0.6663859783083766,2281.0
weighted avg,0.6904445831896123,0.6694432266549759,0.6739868206916934,2281.0
