,precision,recall,f1-score,support
Cleanliness,0.9347826086956522,0.6231884057971014,0.7478260869565218,69.0
Project Scope,0.7093023255813954,0.5922330097087378,0.6455026455026455,103.0
Parameter,0.5347593582887701,0.5747126436781609,0.554016620498615,174.0
Quality control,0.754325259515571,0.7315436241610739,0.7427597955706985,298.0
Power,0.7368421052631579,0.7480916030534351,0.7424242424242424,131.0
Propulsion,0.8,0.6972477064220184,0.7450980392156863,109.0
Nonconformity,0.6607142857142857,0.6727272727272727,0.6666666666666666,55.0
Thermal,0.8807339449541285,0.7741935483870968,0.8240343347639485,124.0
Project Organisation / Documentation,0.4852941176470588,0.4074074074074074,0.4429530201342282,81.0
Materials / EEEs,0.625,0.6565656565656566,0.6403940886699507,99.0
GN&C,0.7866666666666666,0.921875,0.8489208633093526,64.0
System engineering,0.6641221374045801,0.6444444444444445,0.6541353383458647,135.0
Measurement,0.9056603773584906,0.8648648648648649,0.8847926267281107,222.0
Safety / Risk (Control),0.8090909090909091,0.6267605633802817,0.7063492063492064,142.0
Structure & Mechanism,0.5655737704918032,0.46938775510204084,0.5130111524163569,147.0
Space Environment,0.7051282051282052,0.8487654320987654,0.7703081232492998,324.0
Telecom.,0.9203539823008849,0.6081871345029239,0.7323943661971831,171.0
OBDH,0.5403726708074534,0.7565217391304347,0.6304347826086957,115.0
micro avg,0.719340570969039,0.6980101443620756,0.7085148514851485,2563.0
macro avg,0.7232623736060562,0.6788176561906509,0.6940012222004042,2563.0
weighted avg,0.7307571472263652,0.6980101443620756,0.7079684523892678,2563.0
