,precision,recall,f1-score,support
Power,0.743801652892562,0.743801652892562,0.743801652892562,121.0
Parameter,0.5813953488372093,0.5,0.5376344086021505,200.0
Safety / Risk (Control),0.6912751677852349,0.7103448275862069,0.7006802721088435,145.0
Telecom.,0.6435643564356436,0.8333333333333334,0.7262569832402235,78.0
Propulsion,0.6533333333333333,0.6712328767123288,0.6621621621621622,73.0
System engineering,0.5959595959595959,0.48760330578512395,0.5363636363636364,121.0
GN&C,0.6376811594202898,0.7586206896551724,0.6929133858267716,116.0
Measurement,0.9333333333333333,0.8484848484848485,0.8888888888888888,198.0
Cleanliness,0.7352941176470589,0.625,0.6756756756756757,40.0
Nonconformity,0.7619047619047619,0.6530612244897959,0.7032967032967034,49.0
Materials / EEEs,0.5923076923076923,0.7333333333333333,0.6553191489361702,105.0
Project Scope,0.6444444444444445,0.5523809523809524,0.5948717948717949,105.0
OBDH,0.7849462365591398,0.6347826086956522,0.7019230769230769,230.0
Quality control,0.7447698744769874,0.726530612244898,0.7355371900826446,245.0
Thermal,0.7037037037037037,0.6627906976744186,0.6826347305389222,86.0
Space Environment,0.7777777777777778,0.7947598253275109,0.7861771058315334,458.0
Project Organisation / Documentation,0.45614035087719296,0.3939393939393939,0.42276422764227645,66.0
Structure & Mechanism,0.4796747967479675,0.48360655737704916,0.4816326530612245,122.0
micro avg,0.7018108651911469,0.6817826426896012,0.6916517945667262,2558.0
macro avg,0.6756282058024405,0.656311485550699,0.6626963164969588,2558.0
weighted avg,0.703777991786951,0.6817826426896012,0.6900837428884676,2558.0
