,precision,recall,f1-score,support
Thermal,0.8555555555555555,0.7623762376237624,0.806282722513089,101.0
Power,0.8284313725490197,0.9135135135135135,0.8688946015424165,185.0
System engineering,0.7172413793103448,0.7027027027027027,0.7098976109215017,148.0
Safety / Risk (Control),0.5862068965517241,0.53125,0.5573770491803278,96.0
OBDH,0.8854961832061069,0.7341772151898734,0.8027681660899654,316.0
Project Organisation / Documentation,0.5053763440860215,0.5402298850574713,0.5222222222222223,87.0
GN&C,0.816,0.8095238095238095,0.8127490039840638,126.0
Structure & Mechanism,0.6018518518518519,0.6074766355140186,0.6046511627906976,107.0
Space Environment,0.7166666666666667,0.80625,0.7588235294117647,160.0
Project Scope,0.675,0.5454545454545454,0.6033519553072626,99.0
Measurement,0.8985507246376812,0.9073170731707317,0.9029126213592233,205.0
Cleanliness,0.7560975609756098,0.6595744680851063,0.7045454545454546,47.0
Parameter,0.3978494623655914,0.42045454545454547,0.4088397790055249,88.0
Quality control,0.8097560975609757,0.6887966804979253,0.7443946188340808,241.0
Telecom.,0.7423312883435583,0.8832116788321168,0.8066666666666666,137.0
Propulsion,0.8,0.64,0.7111111111111111,75.0
Materials / EEEs,0.75,0.5533980582524272,0.6368715083798883,103.0
Nonconformity,0.6136363636363636,0.5625,0.5869565217391305,48.0
micro avg,0.7525408749447636,0.7188687209793162,0.7353195164075993,2369.0
macro avg,0.7197804304053927,0.6815670582706972,0.697184239200244,2369.0
weighted avg,0.756814791033163,0.7188687209793162,0.7341979328508119,2369.0
