model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
microsoft__deberta-v3-large,1,42,10,10,0.6787872351421907,0.1526860919865695,0.4807324707508087,0.6787872351421907,0.1526860919865695,0.4807324707508087,84.22813606262207,0:01:24
microsoft__deberta-v3-large,2,42,15,8,0.7178567081408176,0.0238430367046317,0.538814681271712,0.7104254812476969,0.0048039756298368,0.6071979577342669,350.93854904174805,0:05:51
microsoft__deberta-v3-large,3,42,20,9,0.7269476145610837,0.0117990339721747,0.6172277840475241,0.7092393566459056,0.0009735663073559,0.7148499625424544,872.5005724430084,0:14:33
microsoft__deberta-v3-large,5,42,20,10,0.6988830642298342,0.0365831344063545,0.5888855295876662,0.6808852765318879,0.0078120617937773,0.6846890486776829,888.8573834896088,0:14:49
microsoft__deberta-v3-large,6,42,20,7,0.7182734293509271,0.0363477890347238,0.5437471543749174,0.7095777293848721,0.0018209946236226,0.7051176230112711,904.638908624649,0:15:05
microsoft__deberta-v3-large,7,42,20,17,0.728086376461491,0.0009171310071102,0.6958462856709957,0.7277241246915331,0.0007634649402123,0.7040857474009196,887.20494556427,0:14:47
microsoft__deberta-v3-large,8,42,20,16,0.7280802571787045,0.0011064310063713,0.7154510927697023,0.7265710765836497,0.0009607011993783,0.7320845400293668,889.5469014644623,0:14:50
microsoft__deberta-v3-large,9,42,30,19,0.727230482656869,0.0011956679709539,0.7446590947608153,0.7199800408698712,0.0004020083479401,0.762050119539102,1320.7532227039335,0:22:01
microsoft__deberta-v3-large,1,41,20,15,0.7270833256616083,0.0037415810795717,0.7023337470988432,0.7256792445529265,0.0009258001293854,0.7409530070920786,905.8239452838898,0:15:06
microsoft__deberta-v3-large,2,42,20,17,0.7280863764614911,0.0009171310071102,0.6958462856709957,0.7277241246915331,0.0007634649402123,0.7040857474009196,916.6609470844268,0:15:17
microsoft__deberta-v3-large,3,43,20,17,0.7288971676401693,0.0015420991170008,0.707618103052179,0.7280113991302125,0.0009551372165523,0.7155299372971058,895.4454860687256,0:14:55
microsoft__deberta-v3-large,4,44,20,18,0.7432870326152093,0.0011489658747112,0.661478487153848,0.7422571711538506,0.0009154931431958,0.6642372285326322,908.3086488246918,0:15:08
microsoft__deberta-v3-large,5,45,20,10,0.7388894393266384,0.0062874878227418,0.6635057119031748,0.734975883378515,0.0007065679302011,0.712060042967399,904.6374311447144,0:15:05
microsoft__deberta-v3-large,6,46,20,14,0.750229430665658,0.0021251211149975,0.7052279599010944,0.7442730565707566,0.0008515113594787,0.7219929061830044,912.9945838451384,0:15:13
microsoft__deberta-v3-large,7,47,20,12,0.745551264133393,0.0052048323518964,0.650259195206066,0.7426946555441816,0.0008292995888379,0.7097073520223299,883.0946290493011,0:14:43
microsoft__deberta-v3-large,8,48,20,9,0.7307832108570349,0.0149893104626667,0.6608058051594222,0.728065599594869,0.0010399179530416,0.7514747155364603,899.3126828670502,0:14:59
microsoft__deberta-v3-large,9,49,20,16,0.7205702173428017,0.001369866634229,0.7626602041224638,0.7170420253542906,0.0007458314669134,0.7773066374162833,871.5107700824738,0:14:32
microsoft__deberta-v3-large,10,50,20,14,0.73845953633677,0.0026430862182128,0.7033934555947781,0.7359038600254159,0.0012033566956741,0.7291803161303202,961.1054553985596,0:16:01
microsoft__deberta-v3-large,11,51,20,11,0.7395249769077735,0.007311583152122,0.6013150438666344,0.7340723179611804,0.0008354706870429,0.6818583669761816,889.4638316631317,0:14:49
microsoft__deberta-v3-large,12,52,20,13,0.7210892118283023,0.0028595013952093,0.763416146238645,0.7191389320515824,0.0008330607780344,0.7888319206734499,982.6474142074584,0:16:23
microsoft__deberta-v3-large,13,53,20,5,0.75195341095485,0.055032528140907,0.5148762489358584,0.7477870631077247,0.0009890722353173,0.6809099602202574,904.3460366725922,0:15:04
microsoft__deberta-v3-large,14,54,20,14,0.7267302791903082,0.0038040829247112,0.7446328997612,0.7238853891121437,0.0011272925665591,0.7880777741471926,875.5141708850861,0:14:36
microsoft__deberta-v3-large,15,55,20,17,0.721754959150605,0.0009812633867367,0.7222568523138762,0.7195417378140684,0.0008741064566704,0.7307559456676245,871.1238789558411,0:14:31
microsoft__deberta-v3-large,16,56,20,7,0.7022488651928966,0.0202277295811231,0.6686243129273256,0.6963653503613527,0.000518493437571,0.8123472717901071,891.5283839702606,0:14:52
microsoft__deberta-v3-large,17,57,20,16,0.7271322689539595,0.0015378311475424,0.7296826044718424,0.723988513499007,0.0008965109924712,0.74128025273482,956.0550978183746,0:15:56
microsoft__deberta-v3-large,18,58,20,15,0.7697956032038352,0.0022416295795728,0.6144658867269754,0.766001499846051,0.0009294746583733,0.6307901218533516,885.0930743217468,0:14:45
microsoft__deberta-v3-large,19,59,20,13,0.7068815712300986,0.0035736544137593,0.7433041060964266,0.7008190752718445,0.0009046196326719,0.7825963056335846,890.6958351135254,0:14:51
microsoft__deberta-v3-large,20,60,20,14,0.7514694424627992,0.0043928509427174,0.6864737756550312,0.7481617437418909,0.0009091278627111,0.7211177547772726,874.5875816345215,0:14:35
microsoft__deberta-v3-large,21,61,20,19,0.7230749078495831,0.0008874607096807,0.8198197223246098,0.722020183566227,0.0009397151235282,0.8217339975138506,892.0863301753998,0:14:52
microsoft__deberta-v3-large,22,62,20,14,0.719011570054928,0.0024006009486985,0.691714937488238,0.7152738931530112,0.0007502926345359,0.7175031161556641,888.5028119087219,0:14:49
