,precision,recall,f1-score,support
Project Organisation / Documentation,0.49411764705882355,0.4117647058823529,0.44919786096256686,102.0
Structure & Mechanism,0.4,0.5116279069767442,0.4489795918367347,86.0
Telecom.,0.82,0.5815602836879432,0.6804979253112033,141.0
Measurement,0.7279411764705882,0.8461538461538461,0.782608695652174,117.0
Space Environment,0.7564102564102564,0.7468354430379747,0.7515923566878981,237.0
Cleanliness,0.9347826086956522,0.5180722891566265,0.6666666666666666,83.0
Project Scope,0.6756756756756757,0.6048387096774194,0.6382978723404256,124.0
Safety / Risk (Control),0.5769230769230769,0.6382978723404256,0.6060606060606061,94.0
Parameter,0.5025906735751295,0.6258064516129033,0.5574712643678161,155.0
System engineering,0.8014184397163121,0.6208791208791209,0.6996904024767802,182.0
Thermal,0.8202247191011236,0.8021978021978022,0.8111111111111111,91.0
Propulsion,0.7327586206896551,0.6296296296296297,0.6772908366533864,135.0
OBDH,0.7161716171617162,0.791970802919708,0.7521663778162911,274.0
GN&C,0.8018018018018018,0.6592592592592592,0.7235772357723578,135.0
Nonconformity,0.6119402985074627,0.5774647887323944,0.5942028985507246,71.0
Power,0.65,0.8666666666666667,0.7428571428571429,120.0
Materials / EEEs,0.8,0.6666666666666666,0.7272727272727273,192.0
Quality control,0.729957805907173,0.7004048582995951,0.7148760330578512,247.0
micro avg,0.6959648421893727,0.6736272235112142,0.6846138730595401,2586.0
macro avg,0.697373023205247,0.6555609502098377,0.6680232003030258,2586.0
weighted avg,0.7105970754891943,0.6736272235112142,0.6851665897000182,2586.0
