,precision,recall,f1-score,support
OBDH,0.8835341365461847,0.6962025316455697,0.7787610619469026,316.0
Telecom.,0.7655172413793103,0.8102189781021898,0.7872340425531915,137.0
Thermal,0.9012345679012346,0.7227722772277227,0.8021978021978022,101.0
Cleanliness,0.8823529411764706,0.6382978723404256,0.7407407407407407,47.0
Propulsion,0.6949152542372882,0.5466666666666666,0.6119402985074627,75.0
Nonconformity,0.7567567567567568,0.5833333333333334,0.6588235294117647,48.0
Project Organisation / Documentation,0.45555555555555555,0.47126436781609193,0.4632768361581921,87.0
Project Scope,0.6823529411764706,0.5858585858585859,0.6304347826086957,99.0
Space Environment,0.7032258064516129,0.68125,0.692063492063492,160.0
Power,0.7003891050583657,0.972972972972973,0.8144796380090498,185.0
GN&C,0.8899082568807339,0.7698412698412699,0.825531914893617,126.0
Measurement,0.9203980099502488,0.9024390243902439,0.9113300492610837,205.0
System engineering,0.7372262773722628,0.6824324324324325,0.7087719298245614,148.0
Materials / EEEs,0.7228915662650602,0.5825242718446602,0.6451612903225806,103.0
Parameter,0.44545454545454544,0.5568181818181818,0.494949494949495,88.0
Structure & Mechanism,0.6041666666666666,0.5420560747663551,0.5714285714285714,107.0
Safety / Risk (Control),0.6039603960396039,0.6354166666666666,0.6192893401015228,96.0
Quality control,0.7188940092165899,0.6473029045643154,0.6812227074235808,241.0
micro avg,0.7382012466607302,0.6998733642887294,0.7185265438786566,2369.0
macro avg,0.7260407796713868,0.668203800682649,0.6909798623556838,2369.0
weighted avg,0.7487303189271263,0.6998733642887294,0.7184199348911368,2369.0
