,precision,recall,f1-score,support
Materials / EEEs,0.45180722891566266,0.6,0.5154639175257731,125.0
Parameter,0.5147058823529411,0.5023923444976076,0.5084745762711864,209.0
Thermal,0.8333333333333334,0.7692307692307693,0.8,91.0
Structure & Mechanism,0.6549295774647887,0.5502958579881657,0.5980707395498392,169.0
Nonconformity,0.4722222222222222,0.4358974358974359,0.4533333333333333,39.0
Measurement,0.8497409326424871,0.845360824742268,0.8475452196382429,194.0
Space Environment,0.8275862068965517,0.782608695652174,0.8044692737430168,276.0
Quality control,0.6851063829787234,0.696969696969697,0.6909871244635193,231.0
Project Organisation / Documentation,0.4948453608247423,0.384,0.43243243243243246,125.0
Project Scope,0.5769230769230769,0.35714285714285715,0.4411764705882353,84.0
GN&C,0.8037383177570093,0.7049180327868853,0.7510917030567685,122.0
Power,0.7860262008733624,0.7258064516129032,0.7547169811320755,248.0
System engineering,0.6259541984732825,0.5899280575539568,0.6074074074074074,139.0
Telecom.,0.9545454545454546,0.5714285714285714,0.7148936170212766,147.0
Propulsion,0.7755102040816326,0.5507246376811594,0.6440677966101694,138.0
OBDH,0.6273584905660378,0.8525641025641025,0.7228260869565217,156.0
Cleanliness,0.5882352941176471,0.7317073170731707,0.6521739130434783,41.0
Safety / Risk (Control),0.6842105263157895,0.6074766355140186,0.6435643564356436,107.0
micro avg,0.6912535268037082,0.6493752366527831,0.669660288949629,2641.0
macro avg,0.6781543828491524,0.6254695715742079,0.6434830527338289,2641.0
weighted avg,0.7017628711630732,0.6493752366527831,0.6683116467660007,2641.0
