,precision,recall,f1-score,support
Materials / EEEs,0.7945205479452054,0.6304347826086957,0.703030303030303,92.0
Structure & Mechanism,0.7045454545454546,0.6526315789473685,0.6775956284153005,95.0
Measurement,0.9086294416243654,0.9086294416243654,0.9086294416243654,197.0
Propulsion,0.7115384615384616,0.6607142857142857,0.6851851851851852,56.0
GN&C,0.868421052631579,0.6666666666666666,0.7542857142857143,99.0
Project Scope,0.6568627450980392,0.7052631578947368,0.6802030456852792,95.0
Safety / Risk (Control),0.6973684210526315,0.5888888888888889,0.6385542168674698,90.0
Quality control,0.7887931034482759,0.820627802690583,0.8043956043956044,223.0
System engineering,0.7232704402515723,0.7986111111111112,0.759075907590759,144.0
Parameter,0.5119047619047619,0.5,0.5058823529411764,86.0
Thermal,0.7831325301204819,0.7738095238095238,0.7784431137724551,84.0
Nonconformity,0.6122448979591837,0.6976744186046512,0.6521739130434783,43.0
Project Organisation / Documentation,0.5476190476190477,0.5974025974025974,0.5714285714285714,77.0
OBDH,0.844106463878327,0.757679180887372,0.7985611510791367,293.0
Telecom.,0.7302631578947368,0.8345864661654135,0.7789473684210526,133.0
Cleanliness,0.7647058823529411,0.7222222222222222,0.7428571428571429,36.0
Space Environment,0.7388535031847133,0.7785234899328859,0.7581699346405228,149.0
Power,0.7345971563981043,0.9337349397590361,0.8222811671087533,166.0
micro avg,0.7523020257826888,0.7571825764596849,0.7547344110854504,2158.0
macro avg,0.7289653927471046,0.7237833641628002,0.7233166534651262,2158.0
weighted avg,0.7564293400112162,0.7571825764596849,0.7537521772824802,2158.0
