,precision,recall,f1-score,support
Measurement,0.7285714285714285,0.8717948717948718,0.7937743190661478,117.0
Project Organisation / Documentation,0.49333333333333335,0.3627450980392157,0.4180790960451977,102.0
Quality control,0.6991525423728814,0.6680161943319838,0.6832298136645962,247.0
Propulsion,0.7857142857142857,0.6518518518518519,0.7125506072874493,135.0
Materials / EEEs,0.7089552238805971,0.4947916666666667,0.5828220858895705,192.0
Telecom.,0.7916666666666666,0.5390070921985816,0.6413502109704642,141.0
Cleanliness,0.8363636363636363,0.5542168674698795,0.6666666666666666,83.0
Project Scope,0.6166666666666667,0.5967741935483871,0.6065573770491803,124.0
Parameter,0.48520710059171596,0.5290322580645161,0.5061728395061729,155.0
Structure & Mechanism,0.3277310924369748,0.45348837209302323,0.3804878048780488,86.0
OBDH,0.7119205298013245,0.7846715328467153,0.7465277777777778,274.0
Space Environment,0.7521008403361344,0.7552742616033755,0.7536842105263157,237.0
Thermal,0.8333333333333334,0.8241758241758241,0.8287292817679558,91.0
Nonconformity,0.6153846153846154,0.5633802816901409,0.5882352941176471,71.0
Power,0.5714285714285714,0.8333333333333334,0.6779661016949152,120.0
GN&C,0.8205128205128205,0.7111111111111111,0.7619047619047619,135.0
System engineering,0.7862068965517242,0.6263736263736264,0.6972477064220184,182.0
Safety / Risk (Control),0.6666666666666666,0.6170212765957447,0.6408839779005525,94.0
micro avg,0.6791919191919192,0.6500386697602475,0.6642955937561746,2586.0
macro avg,0.6794953472562987,0.6353922063216026,0.6492705518408577,2586.0
weighted avg,0.6919114215863164,0.6500386697602475,0.6636625134707738,2586.0
