,precision,recall,f1-score,support
Structure & Mechanism,0.54,0.4764705882352941,0.50625,170.0
Space Environment,0.7038123167155426,0.7894736842105263,0.7441860465116279,304.0
Nonconformity,0.6470588235294118,0.5238095238095238,0.5789473684210527,42.0
Thermal,0.4117647058823529,0.5526315789473685,0.47191011235955055,38.0
OBDH,0.7745901639344263,0.7907949790794979,0.782608695652174,239.0
Quality control,0.6197718631178707,0.6197718631178707,0.6197718631178707,263.0
Telecom.,0.9065420560747663,0.5606936416184971,0.6928571428571428,173.0
Parameter,0.47101449275362317,0.49242424242424243,0.48148148148148145,132.0
Project Organisation / Documentation,0.5222222222222223,0.4895833333333333,0.5053763440860215,96.0
Project Scope,0.57,0.5588235294117647,0.5643564356435643,102.0
Cleanliness,0.7142857142857143,0.625,0.6666666666666666,88.0
Propulsion,0.6826923076923077,0.6513761467889908,0.6666666666666666,109.0
Safety / Risk (Control),0.7232142857142857,0.5510204081632653,0.6254826254826255,147.0
System engineering,0.6938775510204082,0.5151515151515151,0.591304347826087,132.0
Power,0.7535211267605634,0.7753623188405797,0.7642857142857142,138.0
Materials / EEEs,0.6528925619834711,0.6124031007751938,0.632,129.0
Measurement,0.898936170212766,0.8492462311557789,0.8733850129198967,199.0
GN&C,0.7591240875912408,0.8125,0.7849056603773585,128.0
micro avg,0.6872246696035242,0.6527196652719666,0.6695278969957081,2629.0
macro avg,0.6691844694161652,0.6248075936146245,0.6418023435753057,2629.0
weighted avg,0.693582625771969,0.6527196652719666,0.6681969040489186,2629.0
