model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
answerdotai__ModernBERT-large,1,42,20,12,0.6849674299956933,0.0009669307185313,0.7059182065228621,0.6797745854212347,0.0002079410428979,0.7218673763175806,674.1682472229004,0:11:14
answerdotai__ModernBERT-large,2,42,20,8,0.6845091017217837,0.0055506368273284,0.6162851800521215,0.682762291606243,0.0003206042649338,0.6401176924506823,402.3665223121643,0:06:42
answerdotai__ModernBERT-large,3,42,20,7,0.6865750167758523,0.0117396764564842,0.6476538280646006,0.6851665897000182,0.000292445143883,0.6868076125780741,671.9961123466492,0:11:12
answerdotai__ModernBERT-large,4,42,20,14,0.665329584281173,0.000504787465108,0.6788724586367607,0.6636625134707738,0.0003408388300496,0.6855005212128162,684.6546289920807,0:11:25
answerdotai__ModernBERT-large,1,41,20,11,0.700040814251661,0.0008194008290491,0.6610969764490923,0.6995684113663027,0.0002328384292669,0.6787761896848679,696.091096162796,0:11:36
answerdotai__ModernBERT-large,2,42,20,7,0.6865750167758524,0.0117396764564842,0.6476538280646006,0.6851665897000181,0.000292445143883,0.6868076125780741,684.7139368057251,0:11:25
answerdotai__ModernBERT-large,3,43,20,6,0.6955210605708518,0.0160909878170567,0.6383344661444426,0.6900390017086266,0.0002018847498707,0.6969756626834472,677.2901668548584,0:11:17
answerdotai__ModernBERT-large,4,44,20,18,0.7041881261569461,0.0002539541381465,0.5962312047680219,0.7036965149915764,0.0002337446068934,0.5966893546283245,689.5839595794678,0:11:30
answerdotai__ModernBERT-large,5,45,20,12,0.677278829934219,0.0006860105638415,0.6841748803853989,0.6752165977538048,0.0001686730217845,0.6926020843287309,682.5970208644867,0:11:23
answerdotai__ModernBERT-large,6,46,20,19,0.7152720765760284,0.0001921383249451,0.6729143025974432,0.7152148491883838,0.000202603383429,0.6731333918869495,691.3879804611206,0:11:31
answerdotai__ModernBERT-large,7,47,20,17,0.7132443379161132,0.0002674343565114,0.6221693772822618,0.7116965697647485,0.0002175588810513,0.6233529578894377,676.5467894077301,0:11:17
answerdotai__ModernBERT-large,8,48,20,18,0.7047152464288574,0.000246020825089,0.6932919370010495,0.7045502873368986,0.0002403937898296,0.6937505581105748,683.126181602478,0:11:23
answerdotai__ModernBERT-large,9,49,20,18,0.6895371764659091,0.0002768233689705,0.6930540837347507,0.6890011148252415,0.0002571457889855,0.6938419565558434,674.1606154441833,0:11:14
answerdotai__ModernBERT-large,10,50,20,9,0.7002124320399513,0.0024024925450523,0.6449373662471771,0.6969697064871986,0.000254597141848,0.6737190869947275,701.0596907138824,0:11:41
answerdotai__ModernBERT-large,11,51,20,4,0.6855562777736616,0.0459763804412728,0.5446524725606045,0.6800892906277131,0.0002649268213264,0.6362250496943792,671.792352437973,0:11:12
answerdotai__ModernBERT-large,12,52,20,8,0.6841210573555037,0.0047429135525436,0.685148112475872,0.679649440160651,0.0002494179191058,0.7050873438517252,668.6393015384674,0:11:09
answerdotai__ModernBERT-large,13,53,20,11,0.7317579292601131,0.0028261464555493,0.5878420434892178,0.7255476322989456,0.0002629054194352,0.6093493476510048,674.5214755535126,0:11:15
answerdotai__ModernBERT-large,14,54,20,16,0.6910352861631359,0.0001835414374465,0.7471274311343828,0.6907258133333769,0.0001662531689954,0.7492548748850822,669.6435406208038,0:11:10
answerdotai__ModernBERT-large,15,55,20,18,0.6646821346951556,0.000208276114748,0.7057598009705544,0.6643662897483278,0.0002006145994866,0.7063886200388273,679.0675864219666,0:11:19
answerdotai__ModernBERT-large,16,56,20,15,0.6694293056053575,0.0003192881055394,0.7289215847849846,0.6683116467660007,0.0002239444704257,0.7323709862927595,702.6434319019318,0:11:43
answerdotai__ModernBERT-large,17,57,20,6,0.677273209902104,0.0115343423405943,0.668829757720232,0.6750834671409253,0.0002758069224296,0.7310368729134401,674.3877534866333,0:11:14
answerdotai__ModernBERT-large,18,58,20,10,0.7199308371263656,0.001621790813366,0.6452278519670168,0.7184199348911368,0.0002151071374016,0.665595693513751,679.1808204650879,0:11:19
answerdotai__ModernBERT-large,19,59,20,8,0.6758189723565026,0.0067486204088497,0.6550037488341331,0.6681969040489186,0.0002690159982553,0.7029650819798311,682.4971654415131,0:11:22
answerdotai__ModernBERT-large,20,60,20,7,0.7003410604699791,0.0072025475193757,0.6901835203170776,0.6969288086984166,0.0002574970076661,0.7075232639908791,689.3463172912598,0:11:29
answerdotai__ModernBERT-large,21,61,20,15,0.681327870847509,0.0002597918538349,0.7986838209132353,0.6802651658192547,0.0002234280265077,0.802892812838157,672.2641746997833,0:11:12
answerdotai__ModernBERT-large,22,62,20,10,0.693042607520463,0.0011826917623185,0.6498922246197859,0.692578132662922,0.0002314850534339,0.6667141405244669,675.6556973457336,0:11:16
answerdotai__ModernBERT-large,23,63,20,13,0.6913944131758678,0.0003857662686218,0.7183833780388037,0.6904462353935319,0.0001685023383944,0.7265861220657825,673.9934358596802,0:11:14
answerdotai__ModernBERT-large,24,64,20,15,0.6883845688176634,0.0003026754274351,0.7088512517511845,0.6867896309467919,0.0002195108506786,0.711029784133037,700.1946032047272,0:11:40
answerdotai__ModernBERT-large,25,65,20,15,0.699444243247975,0.0002008715530601,0.7048518347243468,0.6991182311847081,0.0001657095457377,0.7081432119011879,687.8397257328033,0:11:28
answerdotai__ModernBERT-large,26,66,20,8,0.681451302006951,0.0065538082867427,0.6412306341032187,0.6796111159496702,0.0001666677201492,0.6898913097878298,689.7357089519501,0:11:30
