,precision,recall,f1-score,support
Structure & Mechanism,0.4915254237288136,0.6666666666666666,0.5658536585365853,87.0
Safety / Risk (Control),0.9230769230769231,0.6857142857142857,0.7868852459016393,105.0
Nonconformity,0.7241379310344828,0.42857142857142855,0.5384615384615384,49.0
Materials / EEEs,0.6666666666666666,0.7931034482758621,0.7244094488188977,116.0
Thermal,0.9078947368421053,0.7040816326530612,0.7931034482758621,98.0
Propulsion,0.7971014492753623,0.6707317073170732,0.7284768211920529,82.0
Space Environment,0.6502463054187192,0.8516129032258064,0.7374301675977654,155.0
Project Organisation / Documentation,0.5121951219512195,0.5915492957746479,0.5490196078431373,71.0
GN&C,0.8409090909090909,0.556390977443609,0.669683257918552,133.0
Telecom.,0.8046875,0.7253521126760564,0.762962962962963,142.0
Parameter,0.4972067039106145,0.6095890410958904,0.5476923076923077,146.0
Measurement,0.8448275862068966,0.8647058823529412,0.8546511627906976,170.0
Cleanliness,0.6481481481481481,0.625,0.6363636363636364,56.0
Project Scope,0.6911764705882353,0.7175572519083969,0.704119850187266,131.0
System engineering,0.6486486486486487,0.6923076923076923,0.6697674418604651,104.0
OBDH,0.6729857819905213,0.7845303867403315,0.7244897959183674,181.0
Power,0.8622754491017964,0.7955801104972375,0.8275862068965517,181.0
Quality control,0.8260869565217391,0.7434782608695653,0.782608695652174,230.0
micro avg,0.7170818505338078,0.7206079570853822,0.7188405797101449,2237.0
macro avg,0.7227664941122213,0.6948068380050307,0.7001980697150255,2237.0
weighted avg,0.7369215348853849,0.7206079570853822,0.7215599727664505,2237.0
