,precision,recall,f1-score,support
Measurement,0.925,0.8705882352941177,0.896969696969697,170.0
Nonconformity,0.75,0.4838709677419355,0.5882352941176471,62.0
Structure & Mechanism,0.6923076923076923,0.6223404255319149,0.6554621848739496,188.0
System engineering,0.6170212765957447,0.725,0.6666666666666666,80.0
Parameter,0.4421052631578947,0.672,0.5333333333333333,125.0
Power,0.783410138248848,0.8173076923076923,0.8,208.0
Quality control,0.734375,0.705,0.7193877551020408,200.0
Project Organisation / Documentation,0.47191011235955055,0.6774193548387096,0.5562913907284768,62.0
Materials / EEEs,0.5338983050847458,0.75,0.6237623762376238,84.0
GN&C,0.7538461538461538,0.632258064516129,0.6877192982456141,155.0
Safety / Risk (Control),0.7093023255813954,0.7922077922077922,0.7484662576687117,77.0
Thermal,0.7603305785123967,0.7931034482758621,0.7763713080168776,116.0
Propulsion,0.875,0.56,0.6829268292682927,75.0
Project Scope,0.676056338028169,0.7619047619047619,0.7164179104477612,63.0
Space Environment,0.7570621468926554,0.638095238095238,0.6925064599483204,210.0
OBDH,0.8705035971223022,0.6875,0.7682539682539683,176.0
Cleanliness,0.7272727272727273,0.5333333333333333,0.6153846153846154,15.0
Telecom.,0.6288659793814433,0.7439024390243902,0.6815642458100558,82.0
micro avg,0.7063750581665891,0.7067039106145251,0.7065394461252036,2148.0
macro avg,0.7060148685773177,0.6925462085039933,0.6894288661707585,2148.0
weighted avg,0.7285865986982775,0.7067039106145251,0.7103097681875552,2148.0
