,precision,recall,f1-score,support
Structure & Mechanism,0.5298013245033113,0.625,0.5734767025089605,128.0
Materials / EEEs,0.7857142857142857,0.6875,0.7333333333333333,64.0
Measurement,0.837037037037037,0.9186991869918699,0.875968992248062,123.0
Nonconformity,0.7045454545454546,0.6458333333333334,0.6739130434782609,48.0
Parameter,0.5,0.3958333333333333,0.4418604651162791,144.0
Thermal,0.7272727272727273,0.8205128205128205,0.7710843373493976,78.0
Space Environment,0.7216981132075472,0.7536945812807881,0.7373493975903614,203.0
OBDH,0.8284883720930233,0.8456973293768546,0.8370044052863436,337.0
Telecom.,0.646551724137931,0.7075471698113207,0.6756756756756757,106.0
GN&C,0.7009345794392523,0.6696428571428571,0.684931506849315,112.0
System engineering,0.6203703703703703,0.6442307692307693,0.6320754716981132,104.0
Cleanliness,0.8367346938775511,0.640625,0.7256637168141593,64.0
Quality control,0.6830357142857143,0.7927461139896373,0.7338129496402878,193.0
Power,0.7925531914893617,0.8514285714285714,0.8209366391184573,175.0
Propulsion,0.703125,0.5487804878048781,0.6164383561643836,82.0
Safety / Risk (Control),0.744,0.8857142857142857,0.808695652173913,105.0
Project Scope,0.5,0.6363636363636364,0.56,77.0
Project Organisation / Documentation,0.5609756097560976,0.4107142857142857,0.4742268041237113,56.0
micro avg,0.7053886925795053,0.7262391996361983,0.7156621106878781,2199.0
macro avg,0.690157677651648,0.6933646534460691,0.6875804138427231,2199.0
weighted avg,0.7051518291933836,0.7262391996361983,0.7125489036528946,2199.0
